kategorie,name,string,spalte
Mobilität,ÖBB,obb-personenverkehr ag,verwendungszweck
Mobilität,DB,DB VERTRIEB GMBH,gegenseite
Mobilität,DB,DB VERTRIEB GMBH,verwendungszweck
Mobilität,Nextbike,nextbike,gegenseite
Mobilität,Westbahn,westbahn,gegenseite
Mobilität,MVV,mvv ticketshop,gegenseite
Mobilität,Wiener Linien,ONE-MOBILITY,gegenseite
Mobilität,Flixbus,flix se,verwendungszweck
Mobilität,ÖBB,oebb,gegenseite
Mobilität,DB,DBVERTRIEBG,gegenseite
Mobilität,Flixbus,VISA FLIXBUS.COM,gegenseite
,,,
,,,
Lebensmittel,Hofer,VISA HOFER DANKT,gegenseite
Lebensmittel,Billa,VISA BILLA DANKT,gegenseite
Lebensmittel,Spar,VISA SPAR,gegenseite
Lebensmittel,Lidl,VISA LIDL,gegenseite
Lebensmittel,Migros,VISA MIGROS,gegenseite
Lebensmittel,DENN's,VISA DENN S,gegenseite
Lebensmittel,Baguette,VISA BAGUETTE FIL,gegenseite
Lebensmittel,Mpreis,VISA MINIM,gegenseite
Lebensmittel,Mpreis,VISA MPREIS,gegenseite
Lebensmittel,Penny,VISA PENNY,gegenseite
Lebensmittel,Yedigun,yedigun supermarkt,gegenseite
Lebensmittel,DM,visa dm-fi,gegenseite
Lebensmittel,Bäcker,strock,gegenseite
Lebensmittel,Bäcker,trunk,gegenseite
Lebensmittel,Carrefour,carrefour,gegenseite
Lebensmittel,Brotquelle,BROTQUELLE,gegenseite
Lebensmittel,Gutmann,GUTMANN,gegenseite
Lebensmittel,Unimarkt,UNIMARKT,gegenseite
Lebensmittel,Bäcker,BAECKEREI,gegenseite
Lebensmittel,ADEG,VISA ADEG,gegenseite
Lebensmittel,Tankstelle,Tankstelle,gegenseite
Lebensmittel,Radmer Supermarkt,RADMERER-STUBE,gegenseite
Lebensmittel,Bäcker,Backwa,gegenseite
Lebensmittel,Tankstelle,VISA VIS A VIS,gegenseite
,,,
,,,
Freizeit/Shopping,Sport Okay,sport okay gmbh,verwendungszweck
Freizeit/Shopping,Bergzeit,bergzeit gmbh,verwendungszweck
Freizeit/Shopping,Bike-Discount,bike-discount gmbh,verwendungszweck
Freizeit/Shopping,Bike24,bike24,gegenseite
Freizeit/Shopping,Intersport,intersport,gegenseite
Freizeit/Shopping,Apidura,apidura,gegenseite
Freizeit/Shopping,Amazon,amazon,gegenseite
Freizeit/Shopping,Decathlon,decathlon,verwendungszweck
Freizeit/Shopping,Groundies,Groundie,verwendungszweck
Freizeit/Shopping,Kastner & Ohler,VISA KASTNER & OHLER,gegenseite
Freizeit/Shopping,Buchhandlung,WAGNERSCHE,gegenseite
Freizeit/Shopping,Jack&Jones,JACK&JONES,gegenseite
Freizeit/Shopping,Radladen,speed planet,gegenseite
Freizeit/Shopping,MT Biker,mtbiker.at,gegenseite
Freizeit/Shopping,Friseur,degler,gegenseite
Freizeit/Shopping,Post,visa post,gegenseite
Freizeit/Shopping,MediaMarkt,mediamarkt,gegenseite
Freizeit/Shopping,BikeComponents,BIKECOMPONE,gegenseite
